FIPS_st,FIPS_co,FIPSno,FIPS,State,County,farmN1987,nonfN1987,farmN1988,nonfN1988,farmN1989,nonfN1989,farmN1990,nonfN1990,farmN1991,nonfN1991,farmN1992,nonfN1992,farmN1993,nonfN1993,farmN1994,nonfN1994,farmN1995,nonfN1995,farmN1996,nonfN1996,farmN1997,nonfN1997,farmN1998,nonfN1998,farmN1999,nonfN1999,farmN2000,nonfN2000,farmN2001,nonfN2001,farmN2002,nonfN2002,farmN2003,nonfN2003,farmN2004,nonfN2004,farmN2005,nonfN2005,farmN2006,nonfN2006,farmN2007,nonfN2007,farmN2008,nonfN2008,farmN2009,nonfN2009,farmN2010,nonfN2010,farmN2011,nonfN2011,farmN2012,nonfN2012,farmP1987,nonfP1987,farmP1988,nonfP1988,farmP1989,nonfP1989,farmP1990,nonfP1990,farmP1991,nonfP1991,farmP1992,nonfP1992,farmP1993,nonfP1993,farmP1994,nonfP1994,farmP1995,nonfP1995,farmP1996,nonfP1996,farmP1997,nonfP1997,farmP1998,nonfP1998,farmP1999,nonfP1999,farmP2000,nonfP2000,farmP2001,nonfP2001,farmP2002,nonfP2002,farmP2003,nonfP2003,farmP2004,nonfP2004,farmP2005,nonfP2005,farmP2006,nonfP2006,farmP2007,nonfP2007,farmP2008,nonfP2008,farmP2009,nonfP2009,farmP2010,nonfP2010,farmP2011,nonfP2011,farmP2012,nonfP2012
1,1,1001,01001,AL,Autauga,1580225,23849,1535478,15698,1451070,30066,1663589,23245,1580305,25157,1590588,31006,1708649,34854,1893501,31432,1252903,46942,1497702,48333,1276395,44744,1481024,36350,1285551,35201,1076640,56494,1019255,57130,803015,37022,739534,42348,731431,51296,930447,55267,780659,52891,869754,63744,783984,98062,490444,50945,548272,39484,580652,46185,561945,39926,317549,4558,331815,3744,325564,6837,296046,5865,268647,6382,267522,7812,295117,8264,218458,8437,251719,15844,263462,11664,223680,11095,349515,7454,270726,7797,225649,13071,213776,13241,167574,9804,154390,10990,152124,13470,196571,12089,166412,10630,186244,13213,169875,21057,110471,9680,125999,11121,136463,9679,124882,15569
1,3,1003,01003,AL,Baldwin,6524369,67580,6310723,44729,5936209,86294,6773613,68011,6403775,75399,6414174,94448,6758935,108639,7342876,99561,4760051,151126,5570774,157451,4644684,148024,5896021,122072,5639052,118630,5248182,191442,5578914,197239,4999446,128636,4604221,149058,4553771,181873,5792815,200336,4860257,194630,5344970,222404,4948455,343546,3175281,179450,3636500,140494,3940961,166448,3898698,147447,1311085,12914,1363740,10669,1331854,19623,1205406,17161,1088621,19128,1078805,23796,1167401,25758,847167,26725,956335,51009,979961,37998,813951,36704,1391433,25031,1187536,26278,1099947,44293,1170107,45713,1043289,34065,961211,38684,947098,47759,1223822,43822,1036054,39117,1144539,46101,1072241,73771,715223,34096,835709,39572,926193,34883,866411,57495
1,5,1005,01005,AL,Barbour,2412372,14654,2449124,9571,2414866,18178,2884880,13992,2852192,15525,2984468,18858,2991655,20906,3074945,18393,1873687,26754,2045041,27128,1574873,24431,2600560,19695,3052664,18600,3358486,29450,4110999,29007,4160683,18283,3831765,20524,3789779,23779,4820948,24699,4044846,22708,1405078,24723,1171588,37315,675024,18854,691499,14325,667128,16322,584051,13995,484771,2800,529253,2283,541802,4134,513382,3530,484864,3939,501960,4751,516717,4957,354764,4937,376440,9030,359745,6547,275986,6058,613720,4039,642865,4120,703893,6814,862230,6723,868256,4842,799947,5326,788202,6244,1018500,5403,862234,4564,300875,5125,253862,8013,152047,3582,158914,4035,156786,3421,129794,5457
1,7,1007,01007,AL,Bibb,304592,9237,322154,5980,329462,11500,406711,8966,414200,9788,445238,11936,440689,13306,446203,11748,267012,17565,285024,17913,213441,16603,255739,13537,230296,13366,201250,21354,200257,21268,167404,13532,154170,15265,152481,18081,193969,19180,162743,17718,142399,20937,141669,32014,96745,16511,117004,12645,133059,14361,137409,12280,61208,1765,69617,1426,73918,2615,72377,2262,70413,2483,74885,3007,76116,3155,51480,3154,53645,5929,50139,4323,37404,4117,60353,2776,48498,2961,42179,4941,42001,4929,34934,3584,32186,3962,31713,4748,40979,4195,34692,3561,30492,4340,30697,6875,21791,3137,26889,3562,31271,3010,30537,4788
1,9,1009,01009,AL,Blount,1825118,27748,1760236,18148,1650863,34889,1878028,27171,1769971,29443,1767203,35732,1863776,40099,2026610,35358,1314998,53607,1540495,55277,1285749,51957,1636125,43102,1568557,42196,1463255,67650,1559045,68532,1400263,44318,1289567,50971,1275437,60791,1622473,64646,1361279,61097,1440530,68346,1206109,104852,698184,53701,719094,41170,698114,47689,615703,41181,366761,5302,380385,4329,370390,7934,334207,6856,300889,7469,297227,9003,321911,9507,233815,9491,264194,18094,270990,13340,225319,12883,386118,8838,330325,9347,306678,15652,326990,15883,292208,11736,269219,13228,265267,15963,342773,14141,290182,12279,308466,14167,261342,22515,157264,10203,165256,11596,164069,9994,136828,16058
1,11,1011,01011,AL,Bullock,767573,5527,733344,3712,681095,7000,767012,5286,715325,5650,706458,6670,769415,7323,864452,6439,579896,9386,702757,9476,607159,8536,745735,6773,689726,6460,620408,10104,637020,9619,551038,6021,507476,6803,501915,7726,638483,8043,535696,7256,714947,8303,629577,12416,384783,6343,420269,4823,434877,5327,411222,4522,154245,1056,158475,885,152811,1592,136494,1334,121603,1433,118820,1680,132893,1736,99734,1728,116506,3168,123623,2287,106401,2116,175990,1389,145250,1431,130029,2338,133607,2229,114991,1594,105944,1765,104389,2029,134889,1759,114194,1458,153094,1721,136418,2666,86671,1205,96583,1359,102204,1116,91386,1763
1,13,1013,01013,AL,Butler,1077039,13226,1027547,8483,952916,15863,1071446,12057,997607,12565,983542,14978,1011395,16284,1070181,14104,674218,20384,764928,20296,616513,18155,744944,14251,677063,13353,597727,20720,601520,20035,509187,12378,468934,13854,463795,16176,589990,16835,495010,15464,569004,17881,479933,27017,280135,13677,291252,10543,285813,11834,255224,10014,216433,2527,222052,2023,213797,3607,190670,3042,169590,3188,165423,3774,174688,3861,123470,3786,135456,6880,134559,4898,108040,4502,175803,2922,142584,2958,125275,4794,126161,4643,106258,3278,97898,3595,96461,4248,124645,3682,105521,3108,121843,3707,103993,5801,63100,2599,66933,2969,67171,2480,56719,3905
1,15,1015,01015,AL,Calhoun,777320,123344,744357,79301,692977,148336,782342,113260,731529,117956,724437,141161,836520,154193,992413,133005,700456,193897,890296,192379,804444,173419,1116213,137011,1156926,126003,1158504,192033,1316988,187124,1255529,118492,1156274,133986,1143605,157432,1454770,166140,1220574,155162,957793,178807,788771,272437,447959,140303,451196,107858,426618,122713,364498,105175,156204,23571,160855,18915,155477,33732,139223,28579,124358,29924,121844,35565,144483,36558,114497,35703,140728,65445,156613,46427,140974,43001,263421,28095,243639,27911,242807,44430,276222,43369,262005,31379,241392,34772,237848,41341,307343,36342,260188,31185,205096,37064,170912,58501,100901,26658,103690,30379,100263,25717,81003,41012
1,17,1017,01017,AL,Chambers,438613,28130,458260,18021,463705,33832,567128,25632,572840,26967,611277,32220,657794,34967,730242,30259,484051,43978,579668,43270,494911,38474,630590,30541,605310,28524,565369,44906,603105,43875,542319,27514,499446,30565,493974,35509,628380,36986,527220,33850,719083,37527,641876,55907,397704,28257,440412,21534,462097,24508,443125,21174,88140,5376,99030,4299,104037,7693,100924,6468,97381,6841,102811,8118,113614,8290,84250,8123,97250,14844,101970,10442,86730,9540,148816,6262,127473,6319,118493,10390,126494,10169,113172,7286,104268,7932,102737,9324,132755,8090,112387,6803,153980,7779,139083,12005,89582,5369,101212,6065,108601,5136,98476,8256
1,19,1019,01019,AL,Cherokee,2377039,11721,2351399,7754,2261949,14597,2639371,11246,2551554,12079,2613260,14652,2733870,16458,2947367,14672,1895140,22098,2198771,22627,1816376,20887,2184002,16929,1974364,16196,1732780,25985,1732501,25812,1456065,16435,1340957,18486,1326264,21816,1687130,22873,1415527,21496,2172613,25112,2089398,37971,1386999,19535,1637667,15085,1824398,17397,1850626,14942,477671,2240,508135,1849,507493,3319,469692,2838,433756,3064,439526,3691,472193,3902,340045,3938,380750,7459,386788,5461,318308,5179,515414,3471,415784,3588,363167,6012,363370,5982,303853,4352,279948,4798,275838,5729,356432,5003,301746,4320,465230,5205,452735,8154,312417,3712,376354,4249,428765,3646,411266,5827
1,21,1021,01021,AL,Chilton,1247610,21686,1276513,14252,1267706,26980,1524496,20758,1516487,22461,1595876,27029,1709220,30003,1888403,26589,1245692,39644,1484440,40725,1261089,37569,1607254,30503,1543233,29556,1441780,47576,1538406,47703,1383697,30691,1274311,34849,1260348,41333,1603278,43831,1345174,40970,1023970,46980,818797,71507,448675,36654,432300,28247,386257,32571,306219,28081,250710,4144,275853,3399,284424,6135,271293,5238,257798,5698,268412,6810,295216,7113,217870,7137,250270,13381,261130,9828,220998,9316,379304,6255,324992,6547,302177,11008,322661,11056,288751,8127,266034,9044,262128,10854,338717,9588,286749,8234,219267,9738,177419,15355,101063,6964,99347,7956,90777,6826,68051,10950
1,23,1023,01023,AL,Choctaw,436176,8485,405621,5471,365932,10082,399368,7636,360014,8040,342653,9688,379121,10539,432510,9098,294472,13149,362033,13101,317186,11669,362960,9219,309833,8543,254218,13412,234552,12967,178738,8014,164609,8870,162805,10141,207103,10273,173762,9426,209166,10304,173442,15370,99294,7722,100964,5858,96556,6576,83651,5671,87650,1622,87654,1305,82101,2293,71070,1927,61201,2040,57631,2441,65482,2499,49900,2442,59162,4438,63686,3162,55585,2893,85657,1890,65248,1892,53281,3103,49194,3005,37299,2122,34365,2302,33860,2663,43754,2247,37041,1894,44790,2136,37582,3300,22366,1467,23203,1650,22692,1378,18590,2211
1,25,1025,01025,AL,Clarke,430084,14983,405454,9605,371270,18050,411856,13886,377995,14695,366977,17585,390592,19106,428784,16600,280998,23814,332608,23710,280620,21672,341030,16994,311883,16154,277194,25319,281000,24746,239771,15433,220816,17185,218397,20014,277821,20807,233096,19295,319658,21046,267795,31450,155122,15810,159888,12002,155358,13608,137158,11469,86426,2863,87618,2291,83298,4105,73292,3504,64258,3728,61722,4431,67463,4530,49470,4456,56455,8038,58509,5722,49177,5374,80482,3485,65680,3578,58096,5858,58936,5735,50036,4087,46099,4460,45422,5256,58694,4551,49689,3878,68450,4362,58026,6753,34941,3004,36744,3380,36512,2852,30481,4472
1,27,1027,01027,AL,Clay,542174,7258,501450,4680,449645,8758,487404,6766,436019,7153,411396,8599,450549,9422,508957,8170,343242,11869,418136,11952,363105,10939,512979,8775,539560,8320,546941,13168,628219,13023,604223,8199,556457,9123,550360,10564,700108,10991,587401,10128,426605,11542,356604,17501,206049,8779,211773,6687,205093,7475,180365,6308,108951,1387,108363,1116,100883,1992,86736,1707,74122,1815,69193,2166,77819,2234,58720,2193,68960,4006,73555,2885,63632,2712,121061,1799,113627,1843,114631,3047,131761,3018,126090,2171,116170,2368,114464,2774,147909,2404,125215,2036,91351,2393,77270,3758,46412,1668,48668,1883,48200,1566,40083,2460
