FIPS,State,County,Year,N,P
1001,Alabama,Autauga,2002,"876,874","213,372"
1003,Alabama,Baldwin,2002,"1,665,985","403,276"
1005,Alabama,Barbour,2002,"1,860,059","512,379"
1007,Alabama,Bibb,2002,"236,968","73,484"
1009,Alabama,Blount,2002,"5,334,315","1,643,738"
1011,Alabama,Bullock,2002,"721,299","226,717"
1013,Alabama,Butler,2002,"1,845,624","574,127"
1015,Alabama,Calhoun,2002,"1,482,823","392,592"
1017,Alabama,Chambers,2002,"770,926","186,636"
1019,Alabama,Cherokee,2002,"1,239,885","383,096"
1021,Alabama,Chilton,2002,"927,123","223,107"
1023,Alabama,Choctaw,2002,"313,224","96,538"
1025,Alabama,Clarke,2002,"363,378","86,737"
1027,Alabama,Clay,2002,"1,522,044","474,001"
1029,Alabama,Cleburne,2002,"2,188,060","673,386"
1031,Alabama,Coffee,2002,"4,738,478","1,442,359"
1033,Alabama,Colbert,2002,"1,533,473","471,883"
1035,Alabama,Conecuh,2002,"744,459","180,241"
1037,Alabama,Coosa,2002,"247,495","77,450"
1039,Alabama,Covington,2002,"3,020,888","930,684"
1041,Alabama,Crenshaw,2002,"3,117,188","953,786"
1043,Alabama,Cullman,2002,"13,040,924","4,014,051"
1045,Alabama,Dale,2002,"1,784,416","547,100"
1047,Alabama,Dallas,2002,"1,448,169","350,476"
1049,Alabama,DeKalb,2002,"10,781,693","3,428,352"
1051,Alabama,Elmore,2002,"751,535","227,098"
1053,Alabama,Escambia,2002,"553,023","172,184"
1055,Alabama,Etowah,2002,"2,197,732","678,766"
1057,Alabama,Fayette,2002,"770,003","225,815"
1059,Alabama,Franklin,2002,"4,402,379","1,250,055"
1061,Alabama,Geneva,2002,"4,672,465","1,311,421"
1063,Alabama,Greene,2002,"863,714","209,970"
1065,Alabama,Hale,2002,"1,171,686","359,425"
1067,Alabama,Henry,2002,"1,063,704","331,243"
1069,Alabama,Houston,2002,"1,337,453","329,456"
1071,Alabama,Jackson,2002,"3,490,689","936,317"
1073,Alabama,Jefferson,2002,"319,829","93,842"
1075,Alabama,Lamar,2002,"415,022","123,691"
1077,Alabama,Lauderdale,2002,"2,175,380","545,791"
1079,Alabama,Lawrence,2002,"3,717,072","1,142,022"
1081,Alabama,Lee,2002,"448,397","106,447"
1083,Alabama,Limestone,2002,"1,953,096","601,657"
1085,Alabama,Lowndes,2002,"2,669,610","816,280"
1087,Alabama,Macon,2002,"565,710","135,605"
1089,Alabama,Madison,2002,"1,325,072","404,225"
1091,Alabama,Marengo,2002,"1,286,158","382,443"
1093,Alabama,Marion,2002,"2,186,468","671,703"
1095,Alabama,Marshall,2002,"7,164,024","2,059,071"
