Rowid_,FIPS,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,STATE
,1001,751576.8125000,675426.6250000,717741.3125000,947442.6250000,1000900.0000000,962208.0000000,1122874.0000000,1279235.0000000,1256835.0000000,1309789.0000000,1393899.0000000,1344129.0000000,1275207.0000000,1170500.0000000,1365294.0000000,1452831.0000000,1477765.0000000,1548425.0000000,1596863.0000000,1680112.0000000,1
,1003,2299791.0000000,2066775.0000000,2196256.0000000,2899131.0000000,3062710.0000000,2944313.0000000,3435943.0000000,3914401.0000000,3845858.0000000,4007896.0000000,4265267.0000000,4112972.0000000,3902075.0000000,3581677.0000000,4177737.0000000,4445596.0000000,4521893.0000000,4738109.0000000,4886328.0000000,5141065.0000000,1
,1005,791859.6250000,711628.0000000,756210.6250000,998223.3750000,1054546.0000000,1013780.0000000,1183057.0000000,1347799.0000000,1324199.0000000,1379991.0000000,1468609.0000000,1416171.0000000,1343555.0000000,1233236.0000000,1438471.0000000,1530699.0000000,1556970.0000000,1631417.0000000,1682451.0000000,1770162.0000000,1
,1007,171517.7031250,154139.4062500,163796.0000000,216216.2968750,228415.9062500,219585.9062500,256251.5000000,291934.8125000,286822.9062500,298907.5937500,318102.3125000,306744.0937500,291015.4062500,267120.3125000,311574.3125000,331551.0937500,337241.3125000,353366.5937500,364420.8125000,383419.0000000,1
,1009,560518.6250000,503726.5937500,535284.5000000,706593.5000000,746461.8125000,717605.3750000,837428.3750000,954041.1250000,937335.3750000,976828.3125000,1039556.0000000,1002438.0000000,951036.8125000,872947.6250000,1018223.0000000,1083507.0000000,1102103.0000000,1154800.0000000,1190925.0000000,1253011.0000000,1
,1011,439417.5937500,394895.5937500,419635.4062500,553932.8125000,585187.3750000,562565.5000000,656500.5000000,747918.8750000,734822.5000000,765782.8125000,814958.3750000,785859.5000000,745563.6250000,684345.8125000,798234.1250000,849413.5000000,863991.5000000,905303.5000000,933623.6250000,982295.8750000,1
,1013,381790.0937500,343106.9062500,364602.0937500,481287.0937500,508442.8125000,488787.6875000,570403.5000000,649832.8125000,638453.8750000,665353.8750000,708080.3750000,682797.6250000,647786.3750000,594597.0000000,693549.3750000,738016.8750000,750683.0000000,786577.1250000,811183.3125000,853472.3750000,1
,1015,249219.9062500,223968.7968750,238000.2031250,314168.3125000,331894.6875000,319064.4062500,372340.5937500,424189.4062500,416761.5937500,434321.0937500,462211.4062500,445707.8125000,422853.5937500,388133.3125000,452726.0937500,481753.0937500,490021.0937500,513451.5937500,529513.6250000,557118.5000000,1
,1017,263834.5000000,237102.7031250,251956.9062500,332591.5000000,351357.4062500,337774.8125000,394175.0937500,449064.4062500,441201.0937500,459790.3125000,489316.0937500,471844.5937500,447650.3125000,410893.9062500,479274.5937500,510003.6875000,518756.5937500,543561.0000000,560565.0000000,589788.6250000,1
,1019,650506.0000000,584596.3750000,621220.6250000,820032.0000000,866300.8750000,832811.8750000,971871.6250000,1107206.0000000,1087818.0000000,1133651.0000000,1206450.0000000,1163372.0000000,1103719.0000000,1013093.0000000,1181691.0000000,1257457.0000000,1279037.0000000,1340195.0000000,1382120.0000000,1454173.0000000,1
,1021,357887.4062500,321626.0937500,341775.5000000,451155.0937500,476610.8125000,458186.1875000,534692.3750000,609148.8125000,598482.3125000,623698.1250000,663749.6250000,640049.8750000,607230.5000000,557371.1250000,650128.3750000,691812.0000000,703685.1250000,737332.0000000,760397.6250000,800039.1250000,1
,1023,144380.5000000,129751.7968750,137880.5937500,182007.0000000,192276.4062500,184843.5000000,215707.9062500,245745.5000000,241442.4062500,251615.0937500,267772.8125000,258211.7031250,244971.5937500,224857.0937500,262277.6875000,279093.8125000,283883.8125000,297457.6875000,306762.9062500,322755.3125000,1
,1025,160642.0937500,144365.7031250,153410.0937500,202506.4062500,213932.5000000,205662.4062500,240003.0937500,273423.8125000,268636.0000000,279954.4062500,297932.0000000,287294.0937500,272562.8125000,250182.7968750,291817.9062500,310528.0937500,315857.5000000,330960.4062500,341313.5937500,359107.1875000,1
,1027,108993.7968750,97950.5000000,104087.0000000,137398.2968750,145150.7968750,139539.5937500,162839.4062500,185514.9062500,182266.5000000,189945.9062500,202143.5000000,194925.7968750,184930.7968750,169746.2031250,197995.2031250,210689.7968750,214305.7968750,224552.9062500,231577.4062500,243650.2031250,1
,1029,61010.3984375,54828.8007813,58263.8007813,76910.2031250,81249.7031250,78108.7968750,91151.1015625,103843.8984375,102025.6015625,106324.2031250,113152.0000000,109111.7968750,103516.8984375,95017.2031250,110829.8984375,117935.7968750,119959.8984375,125695.7968750,129627.8984375,136385.7031250,1
,1031,1012934.0000000,910302.6250000,967332.0000000,1276911.0000000,1348958.0000000,1296811.0000000,1513347.0000000,1724082.0000000,1693893.0000000,1765262.0000000,1878620.0000000,1811542.0000000,1718653.0000000,1577535.0000000,1840068.0000000,1958045.0000000,1991650.0000000,2086881.0000000,2152164.0000000,2264362.0000000,1
