Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,1001,1715702.0000000,1834345.0000000,2026930.0000000,2043011.0000000,2235628.0000000,2285334.0000000,2481654.0000000,2655429.0000000,2779660.0000000,2833962.0000000,2431965.0000000,2873613.0000000,2911107.0000000,2500111.0000000,2349059.0000000,2212787.0000000,2534859.0000000,2345498.0000000,1929396.0000000,2398896.0000000,2485575.0000000,1
,1003,5249969.0000000,5613012.0000000,6202312.0000000,6251520.0000000,6840920.0000000,6993016.0000000,7593748.0000000,8125490.0000000,8505632.0000000,8671794.0000000,7441701.0000000,8793124.0000000,7536740.0000000,6472689.0000000,6081620.0000000,5728818.0000000,6314967.0000000,5843222.0000000,4806608.0000000,5976250.0000000,6192190.0000000,1
,1005,1807659.0000000,1932662.0000000,2135569.0000000,2152512.0000000,2355453.0000000,2407822.0000000,2614665.0000000,2797754.0000000,2928643.0000000,2985856.0000000,2562313.0000000,3027632.0000000,3056760.0000000,2625201.0000000,2466590.0000000,2323500.0000000,2296786.0000000,2125210.0000000,1748188.0000000,2173593.0000000,2252131.0000000,1
,1007,391540.9062500,418616.5937500,462566.4062500,466236.4062500,510193.5937500,521536.9062500,566339.3125000,605996.3750000,634347.3125000,646739.6250000,554999.6250000,655788.3750000,487952.5937500,419062.5000000,393743.5000000,370901.9062500,317598.5000000,293873.0000000,241738.7031250,300563.4062500,311423.6875000,1
,1009,1279554.0000000,1368037.0000000,1511665.0000000,1523658.0000000,1667310.0000000,1704380.0000000,1850794.0000000,1980393.0000000,2073043.0000000,2113542.0000000,1813736.0000000,2143113.0000000,2530271.0000000,2173042.0000000,2041751.0000000,1923306.0000000,1984337.0000000,1836101.0000000,1510369.0000000,1877903.0000000,1945757.0000000,1
,1011,1003104.0000000,1072470.0000000,1185067.0000000,1194469.0000000,1307085.0000000,1336145.0000000,1450926.0000000,1552526.0000000,1625159.0000000,1656907.0000000,1421875.0000000,1680090.0000000,1810450.0000000,1554847.0000000,1460906.0000000,1376157.0000000,1830248.0000000,1693524.0000000,1393085.0000000,1732079.0000000,1794664.0000000,1
,1013,871551.3750000,931820.6250000,1029651.0000000,1037820.0000000,1135667.0000000,1160916.0000000,1260644.0000000,1348919.0000000,1412027.0000000,1439612.0000000,1235403.0000000,1459754.0000000,1603166.0000000,1376828.0000000,1293642.0000000,1218596.0000000,1212382.0000000,1121814.0000000,922798.8125000,1147353.0000000,1188810.0000000,1
,1015,568920.0000000,608261.6250000,672122.0000000,677454.3750000,741325.5000000,757807.6250000,822906.8125000,880529.8125000,921724.3750000,939730.8750000,806430.0000000,952878.8750000,1115120.0000000,957685.3750000,899823.6250000,847623.8125000,909493.0000000,841551.5000000,692256.3750000,860710.3750000,891810.5000000,1
,1017,602282.1250000,643931.0000000,711536.1250000,717181.3125000,784797.8750000,802246.5000000,871163.1250000,932165.1250000,975775.5000000,994837.8750000,853720.1250000,1008757.0000000,1182675.0000000,1015703.0000000,954335.5000000,898973.3125000,786848.3125000,728068.6250000,598905.8750000,744644.0000000,771550.1250000,1
,1019,1484977.0000000,1587665.0000000,1754352.0000000,1768270.0000000,1934984.0000000,1978006.0000000,2147925.0000000,2298331.0000000,2405856.0000000,2452856.0000000,2104918.0000000,2487174.0000000,2681150.0000000,2302620.0000000,2163500.0000000,2037992.0000000,2666238.0000000,2467063.0000000,2029395.0000000,2523228.0000000,2614400.0000000,1
