Rowid_,FIPS,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,STATE
,1001,553950.3125000,650432.8125000,674496.5000000,711273.6250000,785062.3125000,767891.1250000,863905.0000000,855514.6250000,790875.8750000,721978.1250000,692839.0000000,681708.5000000,665098.1250000,614344.1250000,545900.6250000,703642.8750000,694145.1250000,722553.1250000,753289.5000000,722844.3125000,1
,1003,1695063.0000000,1990295.0000000,2063929.0000000,2176465.0000000,2402255.0000000,2349712.0000000,2643510.0000000,2617836.0000000,2420044.0000000,2209221.0000000,2120056.0000000,2085997.0000000,2035170.0000000,1879865.0000000,1670431.0000000,2153115.0000000,2124053.0000000,2210980.0000000,2305032.0000000,2211870.0000000,1
,1005,583640.8125000,685294.3750000,710648.0000000,749396.3750000,827139.8750000,809048.3125000,910208.3750000,901368.3125000,833265.1250000,760674.5000000,729973.5000000,718246.6250000,700745.8750000,647271.5000000,575159.6250000,741356.5000000,731349.6250000,761280.3750000,793664.1250000,761587.0000000,1
,1007,126417.2031250,148435.5000000,153927.0937500,162320.0937500,179159.4062500,175240.7968750,197152.0937500,195237.2968750,180486.0937500,164762.9062500,158113.0937500,155573.0000000,151782.2968750,140199.7031250,124580.2031250,160578.5937500,158411.0937500,164894.2031250,171908.5000000,164960.5937500,1
,1009,413130.8125000,485086.4062500,503032.9062500,530461.0000000,585491.8125000,572685.8125000,644291.8750000,638034.5000000,589827.6250000,538444.3125000,516712.5937500,508411.5937500,496023.8125000,458171.9062500,407127.4062500,524770.0000000,517686.6875000,538873.1250000,561796.0000000,539090.1250000,1
,1011,323873.0937500,380282.5937500,394351.8125000,415854.0000000,458995.3125000,448956.0000000,505091.5937500,500186.0000000,462394.3125000,422112.5000000,405075.9062500,398568.4062500,388856.9062500,359183.0937500,319166.8125000,411392.5000000,405839.5937500,422448.5937500,440419.0000000,422618.8125000,1
,1013,281398.6875000,330410.3125000,342634.4062500,361316.6875000,398800.1875000,390077.5000000,438851.0937500,434588.9062500,401753.4062500,366754.4062500,351952.0937500,346298.0000000,337860.1875000,312077.9062500,277309.5937500,357440.3125000,352615.5937500,367046.5000000,382660.0937500,367194.3125000,1
,1015,183687.7968750,215681.0000000,223660.4062500,235855.5937500,260323.5937500,254629.7031250,286467.5000000,283685.3125000,262251.4062500,239405.2031250,229742.7031250,226051.9062500,220544.0000000,203714.0937500,181018.5000000,233325.2031250,230175.7968750,239595.7968750,249787.9062500,239692.2968750,1
,1017,194459.5000000,228328.7968750,236776.2031250,249686.5000000,275589.3125000,269561.5000000,303266.4062500,300321.0000000,277630.0937500,253444.2031250,243215.0937500,239307.9062500,233476.9062500,215660.2031250,191633.7031250,247007.7031250,243673.5937500,253646.0000000,264435.8125000,253748.2031250,1
,1019,479456.0000000,562963.5000000,583791.3125000,615622.8125000,679488.3750000,664626.3125000,747728.3750000,740466.3750000,684520.1250000,624887.8125000,599667.1250000,590033.5000000,575656.8125000,531728.1250000,472488.8125000,609018.0000000,600797.5000000,625385.3750000,651988.3750000,625637.3125000,1
,1021,263781.1875000,309724.4062500,321183.0937500,338695.8125000,373832.5937500,365655.9062500,411376.0937500,407380.6875000,376600.9062500,343793.0937500,329917.5000000,324617.4062500,316707.8125000,292539.5937500,259948.0937500,335062.0937500,330539.4062500,344066.9062500,358702.9062500,344205.4062500,1
,1023,106415.7968750,124950.3984375,129573.1015625,136638.0937500,150813.2031250,147514.5000000,165959.0937500,164347.2968750,151930.0000000,138694.5000000,133096.7968750,130958.6015625,127767.7031250,118017.6015625,104869.3984375,135172.2031250,133347.7031250,138805.0000000,144709.5000000,138860.9062500,1
,1025,118401.3984375,139023.5000000,144166.9062500,152027.7031250,167799.2968750,164129.0937500,184651.0937500,182857.7031250,169041.7968750,154315.7031250,148087.4062500,145708.4062500,142158.0937500,131309.9062500,116680.7968750,150396.7031250,148366.5937500,154438.5000000,161008.0937500,154500.7968750,1
,1027,80334.0000000,94325.8984375,97815.6015625,103149.1015625,113849.8984375,111359.7031250,125283.7031250,124066.8984375,114693.0000000,104701.3984375,100475.7031250,98861.5000000,96452.7031250,89092.2968750,79166.6015625,102042.3984375,100665.1015625,104784.7968750,109242.2031250,104827.0000000,1
,1029,44967.8007813,52799.8984375,54753.3007813,57738.8007813,63728.6992188,62334.8007813,70128.8984375,69447.7968750,64200.6015625,58607.6992188,56242.3007813,55338.8007813,53990.3984375,49870.3984375,44314.3984375,57119.3007813,56348.3007813,58654.3984375,61149.5000000,58678.0000000,1
