Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,1001,708370.3750000,686933.0000000,738219.5000000,780022.3750000,748171.5000000,749463.5000000,742975.5000000,810098.6250000,825473.8750000,816409.1250000,654344.0000000,706361.5000000,773674.0000000,736223.3750000,761735.5000000,695252.6250000,657334.1250000,605069.8750000,457626.0937500,567755.8750000,523952.0937500,1
,1003,2167581.0000000,2101984.0000000,2258918.0000000,2386833.0000000,2289371.0000000,2293324.0000000,2273471.0000000,2478865.0000000,2525913.0000000,2498175.0000000,2002263.0000000,2161434.0000000,2003012.0000000,1906053.0000000,1972103.0000000,1799982.0000000,1637584.0000000,1507381.0000000,1140061.0000000,1414422.0000000,1305296.0000000,1
,1005,746337.5000000,723751.1250000,777786.3750000,821829.8125000,788271.8750000,789633.0000000,782797.3125000,853518.0000000,869717.3750000,860166.8125000,689415.3125000,744220.8750000,812383.6250000,773059.1250000,799847.8125000,730038.5000000,595597.6250000,548242.0000000,414646.0937500,514432.5937500,474742.6875000,1
,1007,161657.5000000,156765.2968750,168469.4062500,178009.2031250,170740.5000000,171035.4062500,169554.7031250,184872.9062500,188381.7031250,186313.0937500,149328.0937500,161199.0937500,129681.3984375,123404.0000000,127680.2968750,116536.5000000,82359.0000000,75810.7031250,57337.1015625,71135.5000000,65647.2031250,1
,1009,528295.8125000,512308.0000000,550556.8750000,581733.1250000,557979.0000000,558942.5000000,554103.8750000,604163.6250000,615630.3750000,608870.0000000,488003.4062500,526797.6250000,672460.6250000,639909.3750000,662083.8750000,604298.5000000,514574.0000000,473660.5000000,358238.5937500,444450.4062500,410159.9062500,1
,1011,414156.5937500,401622.9062500,431608.0937500,456048.6875000,437426.8125000,438182.0937500,434388.8125000,473633.0937500,482622.4062500,477322.5937500,382569.4062500,412982.0937500,481156.5000000,457865.5000000,473731.8125000,432385.3125000,474616.0937500,436879.5937500,330420.5000000,409937.8125000,378309.9062500,1
,1013,359841.9062500,348952.0000000,375004.8125000,396240.0000000,380060.3125000,380716.5000000,377420.6875000,411518.3125000,419328.6875000,414723.9062500,332397.1875000,358821.4062500,426067.4062500,405443.0937500,419492.8125000,382880.3125000,314392.3125000,289395.0937500,218875.2031250,271548.4062500,250597.7968750,1
,1015,234892.9062500,227784.2968750,244790.7031250,258652.4062500,248090.7968750,248519.2031250,246367.7968750,268625.5000000,273723.9062500,270718.0937500,216977.9062500,234226.7968750,296361.3125000,282015.5937500,291788.1875000,266321.4062500,235847.7968750,217095.7031250,164193.7031250,203707.7031250,187991.0937500,1
,1017,248667.2968750,241141.9062500,259145.5937500,273820.0937500,262639.0937500,263092.5937500,260815.0937500,284378.0937500,289775.4062500,286593.4062500,229701.7968750,247962.0937500,314315.0937500,299100.3125000,309464.9062500,282455.4062500,204043.7968750,187820.4062500,142052.2968750,176237.7968750,162640.5000000,1
,1019,613109.8750000,594555.3750000,638944.8750000,675126.3125000,647558.6250000,648676.8125000,643061.3125000,701157.8125000,714465.5000000,706619.8125000,566348.8750000,611371.1250000,712559.3125000,678066.8750000,701563.8125000,640332.5000000,691403.1250000,636430.0000000,481344.4062500,597182.1250000,551107.8750000,1
